sample_id,taxon,frequency
S011,Polypedilum pedestre,14
S011,Polypedilum decematoguttatum,7
S011,Polypedilum cultellatum,7
S011,Polypedilum nubeculosum,11
S011,Polypedilum sp.,8
S011,Stictochironomus sinsauensis,11
S011,Tanytarsus takahashii,3
S011,Tanytarsus tamakutibasi,9
S011,Tanytarsus sp.,7
S011,Thienemanniella sp.,11
S011,Corynoneura sp.,6
S011,Cricotopus bicinctus,10
S011,Cricotopus triannulatus,10
S011,Eukiefferiella sp.,8
S011,Hydrobaenus sp.,6
S011,Limnophyes tamakitanaides,4
S011,Orthocladius glabripennis,3
S011,Orthocladius sp.,5
S011,Paratrichocladius rufiventris,7
S011,Propsilocerus akamusi,11
S011,Rheocricotopus sp.,9
S011,Conchapelopia sp.,5
S011,Procladius choreus,9
S011,Procladius nigriventris,6
S011,Procladius sp.,10
S011,Rheopelopia sp.,5
S011,Cladopelma virescens,6
S011,Ecnomus sp.,3
S012,Anodonta woodiana,5
S012,Musculium lacustre,8
S012,Hediste sp.,4
S012,Branchiura sowerbyi,7
S012,Bothrioneurum vejdoskynum,7
S012,Tubifex tubifex,9
S012,Limnodrilus claparedeianus,5
S012,Limnodrilus hoffmeisteri,8
S012,Limnodrilus udekimineanus,11
S012,Haplotaxis gordioides,3
S012,Chaetogaster diaphanus,8
S012,Chaetogaster limnaei,6
S012,Amphichaeta asiatica,6
S012,Haemonais waldvogeli,4
S012,Nais variabilis,8
S012,Slavina appendiculata,10
S012,Stylaria fossularis,8
S012,Pristina biserrata,13
S012,Henlea sp.,11
S012,Mesenchytreanus sp.,10
S012,Lumbriculus variegatus,7
S012,Lamprotus orientalis,13
S012,Eisenia koreana,4
S012,Helobdella stagnalis,5
S012,Erpobdella sp.,10
S012,Cyprididae sp.,13
S012,Gnorimosphaeroma sp.,14
S012,Cyathura higoensis,12
S012,Asellus sp.,3
S012,Gammarus sp.,10
S012,Collembola sp.,6
S012,Cloeon dipterum,8
S012,Labiobaetis atrebatinus,11
S012,Procloeon pennulatum,9
S012,Choroterpes altioculus,15
S012,Rhoenanthus coreanus,9
S012,Ephoron shigae,10
S012,Serratella setigera,13
S012,Psychoda sp.,9
S012,Dixidae sp.,7
S012,Ceratopogonidae sp.,13
S012,Chironomus circumdatus,7
S012,Chironomus flaviplumus,5
S012,Chironomus nipponensis,6
S012,Chironomus edwardsi,7
S012,Cryptochironomus sp.,9
S012,Demicryptochironomus sp.,13
S012,Dicrotendipes nervosus,9
S012,Dicrotendipes pelochloris,5
S012,Dicrotendipes septemmaculatus,7
S012,Dicrotendipes sp.,10
S012,Harnischia japonica,3
S012,Harnischiagumsanea,3
S012,Lipiniella moderata,5
S012,Nilothauma sp.,10
S012,Parachironomus gracilior,6
S012,Parachironomus arcuatus,6
S012,Paratendipes albimanus,15
S012,Polypedilum asakawaense,5
S012,Polypedilum pedestre,8
S012,Polypedilum nubifer,6
S012,Polypedilum cultellatum,7
S012,Polypedilum nubeculosum,9
S012,Polypedilum sp.,8
S012,Stictochironomus sinsauensis,8
S012,Stictochironomus sp.,9
S012,Tanytarsus kiseogi,10
S012,Tanytarsus tamagotoi,10
S012,Tanytarsus tamakutibasi,7
S012,Tanytarsus sp.,12
S012,Thienemanniella sp.,7
S012,Brillia japonica,9
S012,Corynoneura sp.,3
S012,Cricotopus sp.,8
S012,Hydrobaenus sp.,7
S012,Limnophyes tamakitanaides,10
S012,Orthocladius glabripennis,6
S012,Orthocladius sp.,5
S012,Paratrichocladius rufiventris,8
S012,Rheocricotopus sp.,6
S012,Ablabesmyia longistyla,8
S012,Ablabesmyia prorasha,10
S012,Ablabesmyia sp.,7
S012,Hayesomyia tripunctata,9
S012,Procladius choreus,6
S012,Procladius nigriventris,5
S012,Procladius sp.,10
S012,Chironomidae sp.,8
S012,Syrphidae sp.,10
S012,Ecnomus sp.,14
S013,Anodonta woodiana,5
S013,Corbicula fluminea,7
S013,Bothrioneurum vejdoskynum,7
S013,Rhyacodrilus coccineus,13
S013,Tubifex tubifex,10
S013,Haplotaxis gordioides,7
S013,Chaetogaster limnaei,9
S013,Branchiodrilus hortensis,6
S013,Opidonais sp.,7
S013,Amphichaeta asiatica,8
S013,Slavina appendiculata,8
S013,Pristina biserrata,9
S013,Mesenchytreanus sp.,7
S013,Lumbriculus variegatus,8
S013,Lamprotus orientalis,7
S013,Eisenia koreana,10
S013,Helobdella stagnalis,7
S013,Erpobdella lineata,11
S013,Gnorimosphaeroma sp.,9
S013,Cyathura higoensis,7
S013,Gammarus sp.,11
S013,Monocorophium sp.,5
S013,Collembola sp.,7
S013,Cloeon dipterum,11
S013,Procloeon pennulatum,8
S013,Choroterpes altioculus,14
S013,Ephoron shigae,11
S013,Serratella setigera,8
S013,Dixidae sp.,13
S013,Ceratopogonidae sp.,10
S013,Benthalia sp.,10
S013,Chironomus kiiensis,4
S013,Chironomus nipponensis,12
S013,Chironomus edwardsi,5
S013,Chironomus sp.,10
S013,Cryptochironomus sp.,8
S013,Dicrotendipes nervosus,3
S013,Dicrotendipes pelochloris,4
S013,Dicrotendipes septemmaculatus,5
S013,Dicrotendipes sp.,3
S013,Glyptotendipes tokunagai,4
S013,Microchironomus tener,10
S013,Microtendipes sp.,10
S013,Nilothauma sp.,8
S013,Parachironomus gracilior,9
S013,Paratanytarsus sp.,5
S013,Paratendipes albimanus,10
S013,Paratendipes sp.,7
S013,Polypedilum nubifer,7
S013,Polypedilum decematoguttatum,6
S013,Polypedilum masudai,10
S013,Stictochironomus sp.,11
S013,Tanytarsus kiseogi,10
S013,Tanytarsus takahashii,9
S013,Tanytarsus tamagotoi,11
S013,Tanytarsus tamakutibasi,5
S013,Potthastia sp.,14
S013,Thienemanniella sp.,13
S013,Corynoneura sp.,8
S013,Cricotopus bimaculatus,9
S013,Cricotopus sylvestris,9
S013,Cricotopus triannulatus,9
S013,Cricotopus sp.,6
S013,Eukiefferiella sp.,4
S013,Hydrobaenus kondoi,10
S013,Hydrobaenus sp.,5
S013,Orthocladius glabripennis,8
S013,Orthocladius sp.,13
S013,Paratrichocladius rufiventris,6
S013,Propsilocerus akamusi,11
S013,Rheocricotopus sp.,8
S013,Ablabesmyia monilis,10
S013,Ablabesmyia prorasha,9
S013,Conchapelopia sp.,9
S013,Procladius sp.,13
S013,Saetheria tylus,12
S013,Cladopelma virescens,9
S013,Chironomidae sp.,11
S013,Syrphidae sp.,4
S014,Limnodrilus claparedeianus,9
S014,Haplotaxis gordioides,4
S014,Chaetogaster limnaei,3
S014,Pristina longiseta,3
S014,Collembola sp.,2
S014,Labiobaetis atrebatinus,1
S014,Ephemera orientalis,5
S014,Caenis sp.,5
S014,Chironomus flaviplumus,8
S014,Cryptochironomus sp.,5
S014,Demicryptochironomus sp.,4
S014,Dicrotendipes nervosus,3
S014,Harnischia japonica,3
S014,Microchironomus tener,5
S014,Polypedilum asakawaense,2
S014,Polypedilum pedestre,13
S014,Polypedilum cultellatum,4
S014,Stictochironomus sinsauensis,7
S014,Tanytarsus tamakutibasi,6
S014,Thienemanniella sp.,7
S014,Corynoneura sp.,2
S014,Cricotopus bicinctus,7
S014,Cricotopus triannulatus,6
S014,Eukiefferiella sp.,9
S014,Orthocladius sp.,8
S014,Paratrichocladius rufiventris,3
S014,Propsilocerus akamusi,7
S014,Saetheria tylus,13
S014,Cladopelma virescens,4
S015,Anodonta woodiana,5
S015,Haplotaxis gordioides,2
S015,Chaetogaster diaphanus,5
S015,Chaetogaster limnaei,9
S015,Opidonais sp.,7
S015,Stylaria fossularis,3
S015,Pristina biserrata,8
S015,Pristina longiseta,6
S015,Lamprotus orientalis,4
S015,Procloeon pennulatum,2
S015,Rhoenanthus coreanus,9
S015,Ephoron shigae,4
S015,Ephemera orientalis,5
S015,Dixidae sp.,2
S015,Harnischia japonica,2
S015,Harnischia sp.,4
S015,Paratanytarsus inopertus,4
S015,Polypedilum pedestre,9
S015,Polypedilum nubifer,6
S015,Tanytarsus kiseogi,7
S015,Tanytarsus tamagotoi,10
S015,Tanytarsus sp.,2
S015,Corynoneura sp.,8
S015,Propsilocerus akamusi,7
S015,Ablabesmyia prorasha,3
S015,Procladius choreus,3
S015,Rheopelopia sp.,1
S015,Cladopelma virescens,2
S015,Chironomidae sp.,1
S016,Anodonta woodiana,3
S016,Musculium lacustre,5
S016,Branchiura sowerbyi,11
S016,Rhyacodrilus coccineus,22
S016,Tubifex tubifex,8
S016,Limnodrilus claparedeianus,6
S016,Haplotaxis gordioides,11
S016,Opidonais sp.,13
S016,Amphichaeta asiatica,8
S016,Haemonais waldvogeli,7
S016,Nais variabilis,2
S016,Stylaria fossularis,10
S016,Pristina biserrata,12
S016,Pristina longiseta,7
S016,Lamprotus orientalis,10
S016,Helobdella stagnalis,10
S016,Erpobdella lineata,13
S016,Gnorimosphaeroma sp.,9
S016,Asellus sp.,2
S016,Gammarus sp.,5
S016,Collembola sp.,8
S016,Procloeon maritimum,10
S016,Procloeon pennulatum,9
S016,Choroterpes altioculus,10
S016,Rhoenanthus coreanus,12
S016,Ephoron shigae,9
S016,Serratella setigera,5
S016,Caenis sp.,5
S016,Psychoda sp.,5
S016,Dixidae sp.,3
S016,Benthalia sp.,5
S016,Chironomus circumdatus,6
S016,Chironomus kiiensis,1
S016,Chironomus nipponensis,13
S016,Chironomus edwardsi,8
S016,Chironomus sp.,4
S016,Cryptochironomus sp.,10
S016,Demicryptochironomus sp.,14
S016,Dicrotendipes nervosus,7
