sample_id,numerator,denominator,taxa,KBSI,condition_class
S052,1259.0,855.0,41,85.27485380116958,A
S053,678.9,480.0,23,85.85625,A
S054,1248.2,808.0,37,84.5519801980198,A
S055,4469.4,1601.0,70,72.08369768894441,A
S056,7074.9,1832.0,76,61.38155021834061,B
S057,3880.6,1345.0,59,71.14795539033457,A
S058,823.6,899.0,36,90.83870967741936,A
S059,1957.1,1170.0,50,83.27264957264957,A
S060,3952.9,1453.0,68,72.79490708878183,A
S061,6909.3,2155.0,83,67.93828306264501,B
S062,283.4,113.0,11,74.92035398230088,A
S063,998.9,704.0,37,85.81107954545456,A
S064,3951.5,1467.0,60,73.06407634628493,A
S065,3600.7,1396.0,61,74.2070200573066,A
S066,1270.7,835.0,42,84.7820359281437,A
S067,1001.1999999999999,604.0,32,83.42384105960265,A
S068,1294.5,805.0,42,83.9192546583851,A
S069,4170.7,1509.0,68,72.3611663353214,A
S070,4356.1,1668.0,67,73.88429256594725,A
S071,1285.3,1034.0,48,87.56963249516443,A
S072,196.1,267.0,14,92.65543071161048,A
S073,3353.0,1314.0,59,74.48249619482496,A
S074,6185.8,1870.0,81,66.92085561497325,B
S075,1214.3,814.0,39,85.08230958230959,A
S076,3975.7,1505.0,67,73.58338870431893,A
S077,1147.3,806.0,36,85.76550868486352,A
S078,5541.7,1755.0,72,68.42336182336183,B
S079,5523.5,1763.0,76,68.66988088485536,B
S080,901.0,710.0,36,87.30985915492958,A
S081,1047.0,418.0,31,74.95215311004785,A
S082,2086.5,970.0,46,78.48969072164948,A
S083,16.5,9.0,2,81.66666666666666,A
S084,454.1,364.0,24,87.52472527472527,A
S085,3066.7,1288.0,60,76.19021739130434,A
S086,2600.2999999999997,1087.0,49,76.07819687212512,A
S087,966.0,678.0,37,85.75221238938053,A
S088,337.29999999999995,252.0,17,86.61507936507937,A
S089,2170.8,1095.0,50,80.17534246575343,A
S090,5326.7,1690.0,73,68.48106508875739,B
S091,3752.7,1479.0,62,74.6267748478702,A
S092,7203.0,1989.0,80,63.78582202111615,B
S093,921.6999999999999,564.0,26,83.65780141843972,A
S094,849.0,774.0,36,89.03100775193799,A
S095,3078.5,1418.0,59,78.28984485190409,A
S096,1610.4,1167.0,49,86.20051413881748,A
S097,3816.2999999999997,1658.0,69,76.98250904704463,A
S098,16.200000000000003,14.0,2,88.42857142857143,A
S099,177.2,266.0,16,93.33834586466166,A
S100,50.7,142.0,11,96.42957746478872,A
S101,274.3,392.0,22,93.00255102040816,A
S102,182.5,282.0,16,93.52836879432624,A
S103,9285.5,2506.0,90,62.94692737430168,B
S104,454.9,307.0,22,85.18241042345278,A
S105,1807.0,913.0,46,80.20810514786419,A
S106,2923.3,1171.0,57,75.03586678052946,A
S107,4386.599999999999,1694.0,70,74.10507674144037,A
S108,2338.6,1073.0,52,78.20503261882573,A
S109,291.4,338.0,19,91.37869822485207,A
S110,403.2,290.0,20,86.09655172413794,A
S111,82.8,114.0,13,92.73684210526315,A
S112,7905.4,2246.0,87,64.80231522707035,B
S113,399.2,531.0,28,92.48210922787194,A
S114,9135.1,2247.0,86,59.345349354695145,C
S115,349.9,237.0,20,85.23628691983122,A
S116,539.1,392.0,23,86.24744897959184,A
S117,396.8,392.0,22,89.87755102040816,A
S118,1629.5,893.0,46,81.7525195968645,A
S119,244.2,338.0,14,92.77514792899409,A
S120,515.7,272.0,18,81.04044117647058,A
S121,422.79999999999995,401.0,28,89.45635910224439,A
S122,1018.3,821.0,39,87.59683313032887,A
S123,1512.5,907.0,42,83.32414553472988,A
S124,9835.1,2230.0,79,55.896412556053804,C
S125,5353.599999999999,1632.0,66,67.19607843137256,B
S126,3705.7,1394.0,63,73.4167862266858,A
S127,708.0,674.0,33,89.49554896142433,A
S128,8151.4,2099.0,82,61.16531681753216,B
S129,2315.1,1248.0,45,81.44951923076924,A
S130,4066.0,1384.0,65,70.621387283237,A
S131,5894.6,1795.0,78,67.16100278551532,B
S132,4796.9,1607.0,65,70.14996888612322,A
S133,1379.7,748.0,40,81.5548128342246,A
S134,435.6,399.0,22,89.08270676691728,A
S135,8096.3,2301.0,85,64.81399391568884,B
S136,6572.4,2140.0,83,69.28785046728973,B
S137,2047.8,1055.0,49,80.58957345971564,A
S138,44.4,22.0,5,79.81818181818183,A
S139,3326.5,1425.0,61,76.6561403508772,A
S140,2396.7999999999997,1229.0,52,80.4979658258747,A
S141,4033.8,1625.0,66,75.17661538461539,A
S142,6361.7,2000.0,81,68.1915,B
S143,361.29999999999995,313.0,20,88.45686900958466,A
S144,7209.4,1911.0,79,62.274201988487704,B
S145,2267.4,1226.0,50,81.50570962479608,A
S146,233.2,100.0,13,76.68,A
S147,3278.2,1259.0,59,73.96187450357428,A
S148,10634.4,2567.0,91,58.57265290222049,C
S149,3721.9,1406.0,66,73.52844950213371,A
S150,4493.4,1623.0,69,72.31423290203327,A
S151,3796.5,1514.0,67,74.92404227212681,A
S152,14.100000000000001,45.0,3,96.86666666666667,A
S153,7884.7,2102.0,83,62.4895337773549,B
S154,3341.8,1370.0,61,75.607299270073,A
S155,3249.1,1199.0,56,72.90158465387823,A
S156,1757.2,1045.0,42,83.18468899521531,A
S157,714.2,513.0,30,86.07797270955166,A
S158,868.3,483.0,27,82.02277432712215,A
S159,2492.0,1361.0,59,81.68993387215282,A
S160,6135.5,1907.0,74,67.82642894598845,B
S161,551.2,341.0,19,83.8357771260997,A
S162,5548.7,1594.0,66,65.19008782936011,B
S163,2234.6,1133.0,55,80.27714033539276,A
S164,1664.5,784.0,41,78.76913265306122,A
S165,2598.8,1226.0,56,78.80261011419249,A
S166,4355.5,1801.0,76,75.81621321488062,A
S167,2151.1,1162.0,49,81.48795180722892,A
S168,5355.5,1890.0,73,71.66402116402116,A
S169,1691.3,965.0,46,82.47357512953369,A
S170,352.8,261.0,16,86.48275862068965,A
S171,2189.3,1045.0,52,79.04976076555023,A
S172,1901.0,1055.0,49,81.98104265402844,A
S173,3629.5,1431.0,61,74.63661774982529,A
S174,3005.5,1264.0,55,76.22231012658227,A
S175,3498.5,1337.0,58,73.83320867614061,A
S176,5197.7,1676.0,64,68.98747016706444,B
S177,3120.7,1381.0,57,77.40260680666184,A
S178,264.9,199.0,18,86.68844221105527,A
S179,2553.7,1255.0,50,79.65179282868526,A
S180,5609.1,1890.0,77,70.32222222222222,A
S181,314.9,395.0,21,92.02784810126582,A
S182,1869.6,1198.0,48,84.39398998330552,A
S183,152.4,137.0,12,88.87591240875912,A
S184,5298.7,1836.0,78,71.13997821350763,A
S185,4575.1,1739.0,70,73.691201840138,A
S186,0.0,16.0,1,100.0,A
S187,5054.2,1647.0,70,69.31268973891925,B
S188,1506.3999999999999,953.0,38,84.19307450157397,A
S189,4430.2,1720.0,74,74.24302325581395,A
S190,6350.2,1846.0,79,65.60021668472373,B
S191,753.3,607.0,32,87.58978583196047,A
S192,285.40000000000003,412.0,17,93.07281553398057,A
S193,586.5,514.0,26,88.58949416342412,A
S194,2948.0,1232.0,54,76.07142857142858,A
S195,7529.7,2011.0,84,62.5574341123819,B
S196,5310.599999999999,1873.0,78,71.64655632674854,A
S197,1534.0,832.0,41,81.5625,A
S198,9537.7,2372.0,88,59.79047217537943,C
S199,918.2,764.0,37,87.98167539267016,A
S200,3665.9,1440.0,59,74.54236111111112,A
S201,2167.4,1103.0,49,80.3499546690843,A
S202,3228.5,1417.0,56,77.21594918842625,A
S203,209.6,293.0,19,92.84641638225256,A
S204,43.6,6.0,2,27.333333333333336,E
S205,2792.0,1230.0,61,77.30081300813009,A
S206,1593.2,843.0,45,81.10083036773429,A
S207,1406.3,866.0,44,83.76096997690532,A
S208,3639.9,1445.0,61,74.81038062283737,A
S209,1660.4,960.0,44,82.70416666666665,A
S210,1346.8,831.0,39,83.79302045728039,A
S211,8057.4,2269.0,93,64.48920229175849,B
S212,3105.0,1298.0,61,76.07858243451463,A
S213,2694.6,1262.0,51,78.64817749603803,A
S214,4354.7,1651.0,74,73.62386432465173,A
S215,7407.9,2115.0,82,64.97446808510638,B
S216,8199.1,2308.0,86,64.47530329289428,B
S217,5439.6,1957.0,75,72.204394481349,A
S218,1906.0,961.0,44,80.16649323621229,A
S219,4029.4,1512.0,62,73.3505291005291,A
S220,2637.7999999999997,1159.0,49,77.2407247627265,A
S221,516.5,480.0,28,89.23958333333333,A
S222,3631.0,1386.0,63,73.8023088023088,A
S223,3415.6,1393.0,60,75.48025843503231,A
S224,7750.7,2018.0,77,61.592170465807726,B
S225,175.0,223.0,16,92.152466367713,A
S226,306.4,405.0,25,92.43456790123457,A
S227,279.4,370.0,27,92.44864864864866,A
S228,545.4,630.0,29,91.34285714285713,A
S229,10272.6,2533.0,82,59.44492696407422,C
S230,2425.4,1233.0,55,80.32927818329277,A
S231,3822.7999999999997,1406.0,70,72.81081081081082,A
S232,193.7,73.0,9,73.46575342465754,A
S233,2562.3,994.0,49,74.22233400402413,A
S234,9141.8,2323.0,84,60.64657770124839,B
S235,1320.5,878.0,43,84.96013667425969,A
S236,704.9,637.0,32,88.93406593406594,A
S237,1402.1,718.0,41,80.47214484679665,A
S238,7146.0,2013.0,77,64.50074515648285,B
S239,4606.3,1622.0,76,71.60110974106041,A
S240,246.4,389.0,19,93.66580976863753,A
S241,1712.6,965.0,42,82.25284974093265,A
S242,3157.5,1312.0,54,75.93368902439025,A
S243,7578.3,1871.0,78,59.495991448423304,C
S244,476.8,560.0,26,91.4857142857143,A
S245,291.8,370.0,19,92.11351351351352,A
S246,1195.3,684.0,40,82.52485380116958,A
S247,3315.4,1237.0,58,73.19805982215036,A
S248,10626.0,2686.0,95,60.43931496649293,B
S249,4083.6,1370.0,71,70.192700729927,A
S250,761.6,579.0,26,86.84628670120898,A
S251,1907.3999999999999,981.0,46,80.5565749235474,A
S252,2522.4,1196.0,55,78.90969899665552,A
S253,2657.4,1132.0,50,76.52473498233215,A
S254,6901.9,1998.0,84,65.45595595595596,B
S255,86.60000000000001,132.0,11,93.43939393939394,A
S256,958.6,749.0,32,87.20160213618158,A
S257,414.70000000000005,694.0,32,94.02449567723343,A
S258,7745.9,2105.0,87,63.202375296912116,B
S259,3947.5,1235.0,50,68.03643724696356,B
S260,488.5,557.0,27,91.22980251346499,A
S261,8329.3,2531.0,91,67.09087317265903,B
S262,463.2,549.0,25,91.56284153005464,A
S263,673.6,637.0,31,89.425431711146,A
S264,6989.9,1924.0,78,63.66995841995842,B
S265,189.7,87.0,10,78.19540229885058,A
S266,4885.2,1642.0,74,70.24847746650426,A
S267,4322.9,1646.0,70,73.73693803159173,A
S268,1379.5,901.0,40,84.68923418423972,A
S269,1288.3,884.0,42,85.4264705882353,A
S270,1652.1,881.0,37,81.24744608399546,A
S271,3316.7,1552.0,63,78.62951030927834,A
S272,3842.7,1324.0,60,70.97658610271904,A
S273,2583.0,1086.0,54,76.21546961325967,A
S274,3362.1,1559.0,65,78.43425272610648,A
S275,7339.1,2025.0,86,63.75753086419753,B
S276,2899.6,1145.0,50,74.67598253275109,A
S277,11238.6,2523.0,91,55.455410225921526,C
S278,9370.0,2249.0,84,58.3370386838595,C
S279,1805.6,808.0,41,77.65346534653466,A
S280,2645.4,1135.0,52,76.69251101321586,A
S281,2031.1999999999998,904.0,45,77.53097345132744,A
S282,3287.1,1262.0,63,73.95324881141046,A
S283,711.0,667.0,33,89.34032983508246,A
S284,3105.5,1333.0,57,76.70292573143286,A
S285,1566.5,858.0,46,81.74242424242424,A
S286,93.2,190.0,13,95.09473684210526,A
S287,4864.8,1572.0,69,69.05343511450381,B
S288,887.3,601.0,34,85.23627287853577,A
S289,5920.9,1942.0,81,69.51132852729145,B
S290,7129.099999999999,2147.0,92,66.79506287843503,B
S291,7056.1,2137.0,79,66.98128217126813,B
S292,894.0,831.0,38,89.2418772563177,A
S293,437.7,411.0,24,89.35036496350365,A
S294,7833.9,2371.0,88,66.95951075495572,B
S295,8593.2,2338.0,90,63.245508982035915,B
S296,7696.2,2002.0,78,61.55744255744256,B
S297,4712.099999999999,1565.0,71,69.89073482428115,B
S298,9891.5,2284.0,88,56.692206654991246,C
S299,8609.0,2171.0,84,60.345462920313224,B
S300,4325.8,1516.0,71,71.46569920844327,A
S301,54.0,57.0,5,90.52631578947368,A
S302,3096.8,1266.0,61,75.5387045813586,A
S303,1561.8,928.0,45,83.17025862068967,A
S304,88.3,202.0,12,95.62871287128714,A
S305,4191.0,1520.0,67,72.42763157894737,A
S306,1.8000000000000003,9.0,1,98.0,A
S307,2699.0,1174.0,59,77.01022146507667,A
S308,5172.0,1666.0,69,68.95558223289315,B
S309,1165.1,779.0,34,85.04364569961488,A
S310,169.5,134.0,13,87.3507462686567,A
S311,1051.7,828.0,36,87.29830917874396,A
S312,171.6,398.0,18,95.68844221105527,A
S313,4885.3,1552.0,69,68.52255154639175,B
S314,116.5,144.0,14,91.90972222222221,A
S315,101.30000000000001,155.0,11,93.46451612903225,A
S316,2143.3,1144.0,55,81.26486013986013,A
S317,1213.1,751.0,41,83.8468708388815,A
S318,10238.8,2396.0,83,57.26711185308848,C
S319,2570.2,1162.0,47,77.88123924268503,A
S320,5584.4,1694.0,70,67.03423848878394,B
