sample_id,Ablabesmyia longistyla,Ablabesmyia monilis,Ablabesmyia prorasha,Ablabesmyia sp.,Amphichaeta asiatica,Anodonta woodiana,Asellus sp.,Baetis fuscatus,Benthalia sp.,Bothrioneurum vejdoskynum,Branchiodrilus hortensis,Branchiura sowerbyi,Brillia japonica,Caenis sp.,Ceratopogonidae sp.,Chaetogaster diaphanus,Chaetogaster limnaei,Chironomidae sp.,Chironomus circumdatus,Chironomus edwardsi,Chironomus flaviplumus,Chironomus kiiensis,Chironomus nipponensis,Chironomus sp.,Choroterpes altioculus,Cladopelma edwardsi,Cladopelma virescens,Cladotanytarsus vanderwulpi,Cloeon dipterum,Collembola sp.,Conchapelopia sp.,Corbicula fluminea,Corynoneura sp.,Cricotopus bicinctus,Cricotopus bimaculatus,Cricotopus sp.,Cricotopus sylvestris,Cricotopus triannulatus,Cryptochironomus sp.,Cyathura higoensis,Cyprididae sp.,Demicryptochironomus sp.,Dicrotendipes nervosus,Dicrotendipes pelochloris,Dicrotendipes septemmaculatus,Dicrotendipes sp.,Dixidae sp.,Ecnomus sp.,Eisenia koreana,Ephemera orientalis,Ephoron shigae,Ephydridae sp.,Erpobdella lineata,Erpobdella sp.,Eukiefferiella sp.,Gammarus sp.,Glyptotendipes tokunagai,Gnorimosphaeroma sp.,Haemonais waldvogeli,Haplotaxis gordioides,Harnischia japonica,Harnischia sp.,Harnischiagumsanea,Hayesomyia tripunctata,Hediste sp.,Helobdella stagnalis,Henlea sp.,Hydrobaenus kondoi,Hydrobaenus sp.,Jesogammarus sp.,Labiobaetis atrebatinus,Lamprotus orientalis,Limnodrilus claparedeianus,Limnodrilus hoffmeisteri,Limnodrilus udekimineanus,Limnophyes tamakitanaides,Lipiniella moderata,Lumbriculus variegatus,Mesenchytreanus sp.,Microchironomus sp.,Microchironomus tener,Microtendipes sp.,Monocorophium sp.,Musculium lacustre,Nais communis,Nais variabilis,Nilothauma sp.,Opidonais sp.,Orthocladius glabripennis,Orthocladius sp.,Parachironomus arcuatus,Parachironomus gracilior,Paratanytarsus grimmii,Paratanytarsus inopertus,Paratanytarsus sp.,Paratendipes albimanus,Paratendipes sp.,Paratrichocladius rufiventris,Polypedilum asakawaense,Polypedilum cultellatum,Polypedilum decematoguttatum,Polypedilum masudai,Polypedilum nubeculosum,Polypedilum nubifer,Polypedilum pedestre,Polypedilum sp.,Potamanthus formosus,Potthastia sp.,Pristina biserrata,Pristina longiseta,Procladius choreus,Procladius nigriventris,Procladius sp.,Procloeon maritimum,Procloeon pennulatum,Propsilocerus akamusi,Psychoda sp.,Rheocricotopus sp.,Rheopelopia sp.,Rhoenanthus coreanus,Rhyacodrilus coccineus,Saetheria tylus,Serratella setigera,Slavina appendiculata,Stictochironomus sinsauensis,Stictochironomus sp.,Stylaria fossularis,Syrphidae sp.,Tanypus punctipennis,Tanytarsus formosanus,Tanytarsus kiseogi,Tanytarsus sp.,Tanytarsus takahashii,Tanytarsus tamagotoi,Tanytarsus tamakutibasi,Thienemanniella sp.,Tubifex tubifex
S019,0,8,13,6,0,6,7,0,0,7,12,0,5,5,8,0,4,5,12,0,0,0,8,17,4,0,9,16,10,7,8,6,0,0,0,9,10,7,16,6,12,11,0,6,0,8,0,0,14,7,0,0,0,0,7,6,0,7,0,14,6,0,11,3,0,0,0,8,7,0,0,14,0,11,5,0,10,12,0,11,3,7,0,10,4,0,0,3,0,5,0,10,4,0,9,0,8,0,11,13,0,8,0,0,9,14,10,7,8,0,9,7,12,0,9,8,11,7,0,10,10,6,7,4,0,9,11,8,4,0,0,6,6,0,12,3,5
S020,0,8,0,5,0,7,0,15,0,5,0,0,0,0,0,6,0,8,6,0,5,0,7,0,0,2,0,0,2,0,0,11,9,3,0,8,0,8,10,0,0,9,0,0,2,0,0,0,10,8,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,9,5,0,0,6,13,0,4,0,0,0,3,0,4,8,0,12,0,0,0,8,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,6,8,8,9,5,0,0,2,0,9,0,0,0,8,5,10,6,0,0,5,0,0,0,0,0,9,0,0,7,6,0,4
S021,0,6,0,0,8,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,4,0,0,0,6,0,5,7,0,0,0,3,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,1,6,0,5,0,0,12,2,0,0,10,7,0,0,0,13,0,0,0,11,5,13,6,0,0,0,6,0,1,0,0,0,15,0,0,4,5,0,0
S022,0,0,10,10,5,0,9,9,0,0,4,0,0,3,0,8,6,6,0,0,8,7,14,0,10,0,0,0,0,0,0,4,7,7,0,8,8,6,15,0,0,9,7,0,0,5,7,0,0,9,8,4,11,5,8,0,0,0,0,9,0,16,0,3,3,0,4,10,5,3,8,8,0,6,9,0,0,9,10,0,0,0,0,0,7,8,11,0,0,0,0,6,7,11,2,0,0,10,0,0,8,0,5,7,10,0,10,0,11,0,0,0,0,10,9,0,11,4,9,0,5,0,14,0,0,8,9,0,3,0,10,7,0,8,6,0,0
S023,10,9,6,11,11,10,0,0,4,0,11,0,9,9,0,13,13,0,4,0,12,0,12,0,0,0,8,0,6,0,8,5,8,11,7,17,12,0,10,0,8,11,0,0,6,7,12,0,5,0,2,2,10,0,11,0,5,0,6,0,8,3,12,4,7,4,6,0,8,0,6,0,0,0,0,5,4,14,3,0,0,0,0,0,7,9,14,10,0,4,0,8,8,7,7,0,0,0,0,0,0,9,0,9,10,0,12,11,0,11,0,0,6,0,6,8,5,4,7,0,0,11,5,3,0,9,5,5,0,4,8,9,10,8,9,0,9
S024,0,7,0,0,0,11,4,8,6,0,5,6,0,9,0,10,0,4,0,4,0,0,0,0,3,0,8,0,9,12,6,0,7,8,6,9,0,9,13,0,0,9,11,0,2,0,0,0,7,0,6,0,3,0,0,8,4,5,9,8,10,0,0,0,0,5,9,0,7,0,0,7,12,10,0,0,10,0,0,0,10,7,0,5,0,3,9,0,6,8,0,10,0,0,0,11,8,0,0,5,0,9,4,7,11,6,0,0,8,0,0,0,5,12,7,7,6,8,7,10,10,13,0,0,9,5,7,0,0,0,0,0,10,11,8,7,11
S025,0,5,6,7,10,7,0,11,0,0,0,0,8,0,0,7,7,4,11,1,0,3,0,0,9,8,12,0,0,9,12,0,6,6,0,12,9,0,0,0,7,0,6,3,0,0,0,0,0,0,9,0,0,0,7,0,9,10,0,7,0,8,7,0,7,0,0,8,9,0,8,0,0,5,5,5,8,14,8,0,6,6,0,0,0,10,0,0,5,0,0,10,0,0,14,6,0,0,0,10,8,0,0,6,2,0,11,0,4,0,0,0,0,6,8,14,11,0,12,0,13,5,6,0,10,4,0,3,0,1,0,10,0,14,13,0,0
S026,0,0,4,0,0,10,0,0,0,9,0,6,9,4,11,0,9,0,0,1,9,0,0,3,3,0,5,0,5,0,0,0,0,0,6,0,6,0,0,0,0,15,7,0,0,0,11,0,0,0,11,0,5,0,5,0,0,0,0,0,5,2,0,0,0,0,0,6,8,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,6,0,4,0,13,3,7,0,0,7,0,10,0,0,2,0,1,0,11,0,0,7,7,0,0,10,0,4,8,8,0,0,4,0,6,7,9,3,0,0,0,10,0,0,0,12,0,8,0,7,7,4
S027,0,8,10,8,9,13,0,0,0,0,1,0,8,10,9,8,13,9,0,0,0,3,0,0,0,0,11,0,0,10,0,0,0,0,0,7,0,0,8,0,0,9,5,0,0,0,0,0,0,0,8,0,0,0,6,4,0,0,12,0,0,0,0,2,10,0,5,9,6,0,0,7,0,8,0,0,11,10,7,0,6,7,0,0,0,0,10,6,6,0,0,11,0,4,7,0,8,0,3,0,11,6,0,0,10,0,4,6,12,12,10,2,0,8,10,7,0,9,0,10,11,9,0,0,0,0,1,1,0,0,8,6,10,0,5,0,11
S028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S029,0,6,12,9,0,0,0,0,7,0,3,8,5,0,12,7,11,13,12,0,6,6,13,0,8,5,9,9,0,0,8,5,13,9,8,8,8,5,12,0,0,0,9,0,0,0,9,0,8,8,0,0,0,0,7,10,0,10,13,10,9,8,0,0,6,0,10,7,7,0,0,5,10,6,3,11,10,11,3,7,5,0,0,7,3,0,0,5,7,7,0,8,0,5,0,0,9,0,0,5,5,10,0,15,7,7,11,8,13,0,3,0,8,8,0,0,7,10,0,0,7,0,11,0,5,10,9,0,0,0,8,0,0,6,10,5,0
S030,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,5,10,0,1,0,0,0,0,8,0,0,2,0,0,0,0,5,8,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,4,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,7,0,0,0,7,4,0,0,0,0,0,3,4,0,1,0,15,13,0,0,0,0,7,0,0,0,3,0,0,0,0,0,2
S031,0,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,4,0,0,0,5,0,5,0,5,0,0,0,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9,0,5,0,0,0,0,9,0,0,0,0,2,0,0,2,6,0,4,0,3,5,5,2,0,0,12,0,0,6,0,10,1,0,1,5,0,0,7,0,1,11,0,0,6,0,0,0,15,0,4,0,10,0,6,6,10,3,0,0,0,0,0,0,0,7,0,0,7,5,0,0
S032,0,0,7,4,0,0,2,0,0,6,0,0,0,8,0,0,0,7,8,0,0,0,0,0,8,0,4,0,0,4,10,8,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,10,7,0,8,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,14,0,0,0,9,0,0,0,0,2,0,0,6,14,0,0,0,10,8,0,0,0,5,7,0,0,0,8,0,8,9,1,0,0,0,0,0,0,0,10,0,4,8,8,9,0
S033,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
S034,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,3,0,0,0,0,0,10,15,13,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3
S035,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,9,0,11,0,0,0,0,0,3,0,8,0,0,0,3,0,0,8,0,0,0,0,6,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,0,0,5,0,4,0,0,0,6,0,0,0,7,0,0
S036,0,0,0,11,0,8,7,8,10,0,0,7,7,0,0,0,0,3,10,1,0,0,0,0,8,0,11,8,5,14,0,3,0,7,9,8,0,14,0,0,0,0,0,0,0,0,0,0,0,8,12,0,8,0,0,0,8,0,5,0,9,0,0,0,4,7,5,0,10,0,11,10,6,0,7,0,0,11,2,0,5,4,7,0,10,12,0,15,0,0,0,0,2,0,0,0,0,9,4,9,7,0,0,7,0,10,0,0,9,12,9,0,8,0,8,6,0,0,12,0,9,0,0,0,6,3,7,1,0,0,7,0,15,6,11,3,8
S037,0,11,7,0,6,7,0,10,0,0,0,3,4,7,14,0,6,0,4,2,5,0,0,0,12,0,6,9,0,0,6,9,9,8,0,6,0,0,0,0,1,0,10,0,1,0,9,0,0,8,5,0,0,0,8,0,0,0,0,7,0,4,0,0,0,5,0,4,6,0,0,9,0,10,0,0,3,0,4,0,7,0,0,7,3,0,10,0,0,2,6,11,0,2,0,0,10,8,0,0,4,6,0,0,5,8,0,0,7,0,12,0,0,8,0,0,0,15,0,10,0,0,13,3,0,0,0,0,0,5,8,0,4,0,9,12,0
S038,0,0,7,0,0,0,0,0,5,0,1,6,0,4,0,0,10,0,16,0,0,0,5,0,0,0,6,1,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,9,0,6,0,11,0,0,2,0,4,0,0,3,0,0,0,0,1,9,0,0,11,8,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,12,4,0,4,0,0,9,0,0,12,4,0,0,0,0,5,8,0,2,0,6,0,0,0,0,0,8,0,0,5,0,9,0
S039,0,2,6,0,12,0,2,0,9,5,0,9,0,0,9,4,0,11,9,8,10,2,7,0,0,0,8,6,0,9,0,0,0,0,0,3,0,0,5,0,8,0,8,0,0,8,3,3,0,7,11,0,0,0,0,0,8,2,6,0,7,4,5,0,8,12,6,3,0,1,4,13,10,0,0,0,0,9,0,0,0,4,0,0,0,12,10,4,1,5,0,10,0,7,0,0,7,0,0,11,0,0,0,0,0,4,10,10,4,0,9,0,8,8,5,7,0,10,0,0,13,0,0,0,7,8,0,0,2,0,6,0,0,11,11,18,7
