number,taxon,tolerance,weight
66,Dicrotendipes nervosus,3.8,3.0
67,Dicrotendipes pelochloris,9.0,5.0
68,Dicrotendipes septemmaculatus,6.9,3.0
69,Dicrotendipes sp.,6.6,2.0
70,Glyptotendipes tokunagai,5.2,2.0
71,Harnischia japonica,4.9,3.0
72,Harnischiagumsanea,7.3,5.0
73,Harnischia sp.,6.2,2.0
74,Lipiniella moderata,4.5,2.0
75,Microchironomus tener,3.1,3.0
76,Microchironomus sp.,7.3,5.0
77,Microtendipes sp.,3.8,3.0
78,Nilothauma sp.,3.9,4.0
79,Parachironomus gracilior,1.7,5.0
80,Parachironomus arcuatus,7.4,3.0
81,Paratanytarsus inopertus,7.3,5.0
82,Paratanytarsus grimmii,7.9,4.0
83,Paratanytarsus sp.,4.6,5.0
84,Paratendipes albimanus,2.2,2.0
85,Paratendipes sp.,0.0,4.0
86,Polypedilum asakawaense,6.6,2.0
87,Polypedilum pedestre,0.0,5.0
88,Polypedilum nubifer,1.3,3.0
89,Polypedilum decematoguttatum,4.6,5.0
90,Polypedilum masudai,4.0,2.0
91,Polypedilum cultellatum,3.8,2.0
92,Polypedilum nubeculosum,5.5,2.0
93,Polypedilum sp.,4.7,1.0
94,Stictochironomus sinsauensis,3.0,1.0
95,Stictochironomus sp.,4.8,3.0
96,Tanytarsus kiseogi,0.8,4.0
97,Tanytarsus takahashii,1.7,5.0
98,Tanytarsus tamagotoi,3.3,5.0
99,Tanytarsus tamakutibasi,2.3,4.0
100,Tanytarsus formosanus,10.0,5.0
101,Tanytarsus sp.,4.3,1.0
102,Potthastia sp.,4.6,5.0
103,Thienemanniella sp.,1.2,4.0
104,Brillia japonica,4.6,5.0
105,Corynoneura sp.,1.7,3.0
106,Cricotopus bicinctus,2.7,3.0
107,Cricotopus bimaculatus,0.0,4.0
108,Cricotopus sylvestris,5.8,1.0
109,Cricotopus triannulatus,2.3,4.0
110,Cricotopus sp.,4.3,1.0
111,Eukiefferiella sp.,0.0,4.0
112,Hydrobaenus kondoi,3.9,1.0
113,Hydrobaenus sp.,3.3,5.0
114,Limnophyes tamakitanaides,6.0,5.0
115,Orthocladius glabripennis,5.6,4.0
116,Orthocladius sp.,1.8,2.0
117,Paratrichocladius rufiventris,6.1,2.0
118,Propsilocerus akamusi,2.3,4.0
119,Rheocricotopus sp.,0.0,5.0
120,Ablabesmyia longistyla,8.3,3.0
121,Ablabesmyia monilis,3.7,2.0
122,Ablabesmyia prorasha,0.8,3.0
123,Ablabesmyia sp.,4.5,1.0
124,Conchapelopia sp.,3.4,1.0
125,Hayesomyia tripunctata,9.0,5.0
126,Procladius choreus,2.9,2.0
127,Procladius nigriventris,10.0,5.0
128,Procladius sp.,5.1,1.0
129,Rheopelopia sp.,3.3,5.0
130,Tanypus punctipennis,9.3,3.0
131,Saetheria tylus,0.0,4.0
132,Cladopelma edwardsi,7.0,2.0
133,Cladopelma virescens,3.3,4.0
134,Chironomidae sp.,1.8,2.0
135,Syrphidae sp.,7.3,5.0
136,Ephydridae sp.,10.0,4.0
137,Ecnomus sp.,7.6,2.0
